09-05 15:44:49.651|INFO |MainViewModelBase:Finished Library Install Size scan
09-05 15:44:54.469|DEBUG|Downloader:Downloading string content from https://www.playnite.link/update/stable/10.16/update.json using System.Text.UTF8Encoding encoding.
09-05 15:44:57.731|DEBUG|Downloader:Downloading string content from https://github.com/JosefNemec/PlayniteExtensions/raw/master/manifests/IGDBMetadata_Builtin.yaml using UTF8 encoding.
09-05 16:06:10.825|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 16:06:11.237|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 16:06:11.539|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 16:06:11.565|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 16:59:08.371|INFO |GamesEditor:Game The Legend of Zelda: Tears of the Kingdom stopped after 3177 seconds.
09-05 17:42:52.484|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 17:42:52.493|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 17:42:52.493|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 17:42:52.507|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 17:45:16.093|INFO |GamesEditor:Starting The Legend of Zelda: Tears of the Kingdom, 927e627f-2d39-4dee-b3b9-456dd7daf73e, 1a258126-755f-4886-b849-011728240643, 00000000-0000-0000-0000-000000000000
09-05 17:45:16.107|DEBUG|GamesEditor:Using generic controller to start emulated game.
09-05 17:45:16.107|DEBUG|ProcessStarter:Starting process: yuzu.exe, "D:\Games\Switch\Games\TOTK+%5B0100F2C0115B6000%5D%5Bv0%5D.xci", D:\Games\Switch\yuzu-windows-msvc-early-access, False
09-05 17:45:16.120|INFO |GamesEditor:Started The Legend of Zelda: Tears of the Kingdom game.
09-05 17:47:03.958|DEBUG|WindowFactory:Show dialog window Playnite.DesktopApp.Windows.GameEditWindowFactory: 757256a4-7e61-4c08-af1f-1e699e90b847
